Time;Speed;Voltage;Current;Distance;Altitude;Date;SpeedGPS;Latitude;Longitude;AccuracyPosition;BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp;MotorTemp;
09:34:05.919;0.00;52.15;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.062;0.00;52.15;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.239;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.390;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.540;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.692;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:06.839;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.021;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.171;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.323;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.471;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.622;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;23;255;
09:34:07.770;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:07.950;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:08.101;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:08.250;0.00;52.29;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:08.401;0.00;52.29;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:08.610;0.00;52.29;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:08.854;0.00;52.15;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.132;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.331;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.481;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.630;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.811;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:09.960;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:10.111;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:10.260;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:10.411;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;23;255;
09:34:10.560;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:10.739;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:10.890;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.040;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.189;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.340;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.490;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.669;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.821;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:11.969;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.120;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.269;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.451;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.600;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.750;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:12.900;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.050;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;23;255;
09:34:13.200;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.380;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.530;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.680;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.830;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:13.981;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:14.130;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
09:34:14.310;0.00;52.22;0.00;0.00;47.43;2021-11-03;0.00;32.1779632113088;34.8673302228253;17.14;78;0;3;0;1;25;255;
